TEAM_ID,SEASON_ID,n_obs,order_full,order_reduced,bic_full,bic_reduced,bic_delta
1610612745,22024,81,"(1, 0, 0)","(1, 0, 0)",676.5943031278507,663.6887211872212,12.905581940629531
1610612746,22022,81,"(1, 0, 0)","(1, 0, 0)",665.6802135350704,656.4330921263822,9.247121408688145
1610612746,22023,81,"(1, 0, 0)","(1, 0, 0)",674.0306571455386,666.3545865941171,7.676070551421503
1610612746,22024,81,"(1, 0, 0)","(1, 0, 0)",702.452039030293,687.0727923368879,15.379246693405094
1610612747,22022,81,"(1, 0, 0)","(1, 0, 0)",641.6473207066906,628.7316485204348,12.915672186255847
1610612747,22023,81,"(1, 0, 0)","(1, 0, 0)",685.1162600126441,669.0539223055125,16.062337707131633
1610612747,22024,81,"(1, 0, 0)","(1, 0, 0)",692.4793205563262,679.2122680771502,13.267052479176073
1610612748,22022,81,"(1, 0, 0)","(1, 0, 0)",640.1543114298249,628.7243930164486,11.4299184133763
1610612748,22023,81,"(1, 0, 0)","(1, 0, 0)",685.8629480841,673.052804767287,12.810143316813082
1610612748,22024,81,"(1, 0, 0)","(1, 0, 0)",693.8102192527864,677.7880251216891,16.022194131097308
1610612749,22022,81,"(1, 0, 0)","(1, 0, 0)",690.6109326165086,677.5757816104965,13.035151006012143
1610612749,22023,81,"(1, 0, 0)","(1, 0, 0)",689.6587369876985,681.2646269852239,8.394110002474577
1610612749,22024,81,"(1, 0, 0)","(1, 0, 0)",675.9475678213425,662.3210040140832,13.626563807259345
1610612750,22022,81,"(1, 0, 0)","(1, 0, 0)",655.7717853645286,638.5123092002323,17.259476164296302
1610612750,22023,81,"(1, 0, 0)","(1, 0, 0)",670.0751045857382,655.3150494168751,14.760055168863119
1610612750,22024,81,"(1, 0, 0)","(1, 0, 0)",663.0496768752046,652.65877444223,10.390902432974599
1610612751,22022,81,"(1, 0, 0)","(1, 0, 0)",692.8280263612971,678.1044816408277,14.723544720469476
1610612751,22023,81,"(1, 0, 0)","(1, 0, 0)",686.4651018823356,676.8294230822703,9.635678800065307
1610612751,22024,81,"(1, 0, 0)","(1, 0, 0)",676.5165504323397,661.0673147560066,15.44923567633316
1610612752,22022,81,"(1, 0, 0)","(1, 0, 0)",662.5016942493314,645.6562323329706,16.84546191636082
1610612752,22023,81,"(1, 0, 0)","(1, 0, 0)",689.9515701155102,676.9319914621797,13.01957865333054
1610612752,22024,81,"(1, 0, 0)","(1, 0, 0)",691.2620232318395,680.0303908037635,11.231632428076068
1610612753,22022,81,"(1, 0, 0)","(1, 0, 0)",651.8250688368634,641.0339748408377,10.791093996025666
1610612753,22023,81,"(1, 0, 0)","(1, 0, 0)",669.1616983758914,656.981382645623,12.18031573026849
1610612753,22024,81,"(1, 0, 0)","(1, 0, 0)",683.242408734626,667.5548257212145,15.68758301341154
1610612754,22022,81,"(1, 0, 0)","(1, 0, 0)",632.4694662023278,624.4112856641793,8.058180538148463
1610612754,22023,81,"(1, 0, 0)","(1, 0, 0)",690.2358150013429,680.7050799901493,9.530735011193542
1610612754,22024,81,"(1, 0, 0)","(1, 0, 0)",681.5603125064616,672.0182469214247,9.54206558503688
1610612755,22022,81,"(1, 0, 0)","(1, 0, 0)",670.6256225538775,655.0805410053003,15.545081548577173
1610612755,22023,81,"(1, 0, 0)","(1, 0, 0)",692.4618312598412,678.8677291740464,13.594102085794816
1610612755,22024,81,"(1, 0, 0)","(1, 0, 0)",666.4020497794944,652.576865764349,13.825184015145396
1610612756,22022,81,"(1, 0, 0)","(1, 0, 0)",683.8623788861154,675.5972664714494,8.265112414665964
1610612756,22023,81,"(1, 0, 0)","(1, 0, 0)",658.8798017183572,644.7126796910575,14.167122027299683
1610612756,22024,81,"(1, 0, 0)","(1, 0, 0)",680.9129404705225,668.0657594906152,12.847180979907307
